GMIFC,TYPE,PRODTYP,PROMPT,DESC,LONGDESC,SPANCOMM,CFTCFC,Concat,Category
MY, , , ,CBT MICRO DOW ,CBOT MICRO EMINI DJIA INDEX FUT         ,MYM       ,MYM  ,1/MY/,Micro
HA, , , ,CBOT MTN FUTUR,CBOT MICRO ULTRA 10YR US TREASURY NOTE F,MTN       ,MTN  ,1/HA/,Micro
HB, , , ,CBOT MWN FUTUR,CBOT MICRO ULTRA US TREAUSRY BOND FUTURE,MWN       ,MWN  ,1/HB/,Micro
IA, , , ,CBT MZC FUT   ,CBOT MICRO CORN FUTURE                  ,MZC       ,MZC  ,1/IA/,Micro
IB, , , ,CBT MZS FUT   ,CBOT MICRO SOYBEAN FUTURE               ,MZS       ,MZS  ,1/IB/,Micro
IC, , , ,CBT MZW FUT   ,CBOT MICRO WHEAT FUTURE                 ,MZW       ,MZW  ,1/IC/,Micro
ID, , , ,CBT MZL FUT   ,CBOT MICRO SOYBEAN OIL FUTURE           ,MZL       ,MZL  ,1/ID/,Micro
IE, , , ,CBT MZM FUT   ,CBOT MICRO SOYBEAN MEAL FUTURE          ,MZM       ,MZM  ,1/IE/,Micro
MG, , , ,CMX EMICR GOLD,COMEX EMICRO GOLD FUTURES               ,MGC       ,MGC  ,4/MG/,Micro
B4, , , ,CMX MHG COPPER,COMEX MICRO COPPER FUTURES              ,MHG       ,MHG  ,4/B4/,Micro
DM,O, , ,CMX MG MONW1O ,COMEX MICRO GOLD MONDAY WEEK 1 OPTION   ,1MG       ,1MG  ,4/DM/O,Micro
DN,O, , ,CMX MG MONW2O ,COMEX MICRO GOLD MONDAY WEEK 2 OPTION   ,2MG       ,2MG  ,4/DN/O,Micro
DO,O, , ,CMX MG MONW3O ,COMEX MICRO GOLD MONDAY WEEK 3 OPTION   ,3MG       ,3MG  ,4/DO/O,Micro
DP,O, , ,CMX MG MONW4O ,COMEX MICRO GOLD MONDAY WEEK 4 OPTION   ,4MG       ,4MG  ,4/DP/O,Micro
DQ,O, , ,CMX MG MONW5O ,COMEX MICRO GOLD MONDAY WEEK 5 OPTION   ,5MG       ,5MG  ,4/DQ/O,Micro
DR,O, , ,CMX MG WEDW1O ,COMEX MICRO GOLD WEDNESDAY WEEK 1 OPTION,1WG       ,1WG  ,4/DR/O,Micro
DS,O, , ,CMX MG WEDW2O ,COMEX MICRO GOLD WEDNESDAY WEEK 2 OPTION,2WG       ,2WG  ,4/DS/O,Micro
DT,O, , ,CMX MG WEDW3O ,COMEX MICRO GOLD WEDNESDAY WEEK 3 OPTION,3WG       ,3WG  ,4/DT/O,Micro
DU,O, , ,CMX MG WEDW4O ,COMEX MICRO GOLD WEDNESDAY WEEK 4 OPTION,4WG       ,4WG  ,4/DU/O,Micro
DV,O, , ,CMX MG WEDW5O ,COMEX MICRO GOLD WEDNESDAY WEEK 5 OPTION,5WG       ,5WG  ,4/DV/O,Micro
DW,O, , ,CMX MG FRIW1O ,COMEX MICRO GOLD FRIDAY WEEK 1 OPTION   ,1FG       ,1FG  ,4/DW/O,Micro
DX,O, , ,CMX MG FRIW2O ,COMEX MICRO GOLD FRIDAY WEEK 2 OPTION   ,2FG       ,2FG  ,4/DX/O,Micro
DY,O, , ,CMX MG FRIW3O ,COMEX MICRO GOLD FRIDAY WEEK 3 OPTION   ,3FG       ,3FG  ,4/DY/O,Micro
DZ,O, , ,CMX MG FRIW4O ,COMEX MICRO GOLD FRIDAY WEEK 4 OPTION   ,4FG       ,4FG  ,4/DZ/O,Micro
D1,O, , ,CMX MG FRIW5O ,COMEX MICRO GOLD FRIDAY WEEK 5 OPTION   ,5FG       ,5FG  ,4/D1/O,Micro
MG,O, , ,CMX MICRGOLDO ,COMEX MICRO GOLD OPTION                 ,OMG       ,OMG  ,4/MG/O,Micro
CM, , , ,IMM MINI CNH  ,IMM EMICRO USD/OFFSHORE RMB (CNH) FUT   ,MNH       ,MNH  ,16/CM/,Micro
MK, , , ,CME MCRORUS2K ,CME MICRO E-MINI RUSSELL FUTURE         ,M2K       ,M2K  ,16/MK/,Micro
MQ, , , ,CME MCRO NSDQ ,CME MICRO E-MINI NASDAQ 100 INDEX FUTURE,MNQ       ,MNQ  ,16/MQ/,Micro
MS, , , ,CME MICRO S&P ,CME MICRO E-MINI S&P 500 FUTURE         ,MES       ,MES  ,16/MS/,Micro
AO,O, , ,CME EOM NSDQ  ,CME MICRO E-MINI NASDAQ-100 EOM OPTION  ,MQE       ,MQE  ,16/AO/O,Micro
AP,O, , ,CME NDQ WK1 O ,CME MICRO E-MINI NASDAQ-100 WEEK1 OPTION,MQ1       ,MQ1  ,16/AP/O,Micro
AQ,O, , ,CME NDQ WK2 O ,CME MICRO E-MINI NASDAQ-100 WEEK2 OPTION,MQ2       ,MQ2  ,16/AQ/O,Micro
AR,O, , ,CME NDQ WK3 O ,CME MICRO E-MINI NASDAQ-100 WEEK3 OPTION,MQ3       ,MQ3  ,16/AR/O,Micro
AS,O, , ,CME NDQ WK4 O ,CME MICRO E-MINI NASDAQ-100 WEEK4 OPTION,MQ4       ,MQ4  ,16/AS/O,Micro
EA,O, , ,CME MICRO EOM ,CME MICRO E-MINI S&P500 END OF MONTN OPT,EX        ,EX   ,16/EA/O,Micro
EF,O, , ,CME MICROSPW1 ,CME MICRO E-MINI S&P 500 WEEK1 OPTION   ,EX1       ,EX1  ,16/EF/O,Micro
EH,O, , ,CME MICROSPW2 ,CME MICRO E-MINI S&P 500 WEEK2 OPTION   ,EX2       ,EX2  ,16/EH/O,Micro
